L1,L2,L3,L4,001-AS,133-FES,008-SWARAJ,002-HO,Powerol,CE,Agri,004-MDS,Synergy,007-SBU,TW,134-TPDS,135-INTNL OPER,138-CONT SOUR,140-NON MRV,141-SOURCING,139-CORP
Inventories,,,,63980000813,19795033067,8952038771,0,759657586.6,0,0,0,0,113345612.6,1448141234,0,0,0,0,0,0
,Raw Material & Mfg. Componets,,,29292584018,7299429103,1312377241,0,351668656.2,0,0,0,0,0,942818692,0,0,0,0,0,0
,,Raw Material & Mfg. Componet,,27639169483,6952001867,1140243165,0,351668656.2,0,0,0,0,0,942818692,0,0,0,0,0,0
,,,Closing Stock- Gunny Bags,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Clg Stock - Raw Material-B/s,23539451603,6113279029,1096696446,0,282636112.4,0,0,0,0,0,936622640,0,0,0,0,0,0
,,,Clg Stock - Mfg Component B/s,4099717880,838722838.6,43546719,0,69032543.81,0,0,0,0,0,6196052,0,0,0,0,0,0
,,Stock In Transit - Raw Material,,1653414535,347427235.2,172134076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Clg Stock In Transit - Rm - B/s,1653414535,347427235.2,172134076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Work-in-Progress,,,1713720550,174985446.9,529320495,0,0,0,0,0,0,0,52533819,0,0,0,0,0,0
,,,WIP- Seed Potato Facility A/c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Construction Work In Progress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Clg Stock - Wip - B/s,1713720550,174985446.9,529320495,0,0,0,0,0,0,0,52533819,0,0,0,0,0,0
,,,Clg Stock - Construction W I P - B/s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Finished Goods,,,25919646312,9674707490,6198114788,0,271521323.1,0,0,0,0,0,414909385,0,0,0,0,0,0
,,Stock In Transit - Finised Goods,,25919646312,9674707490,6198114788,0,271521323.1,0,0,0,0,0,414909385,0,0,0,0,0,0
,,,Clg Stock In Transit - FG B/s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Finished Goods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Clg Stock - Finished Goods - B/s,25919646312,9674707490,6198114788,0,271521323.1,0,0,0,0,0,414909385,0,0,0,0,0,0
,Stock in Trade,,,4886306888,2182245555,705998409,0,136467607.3,0,0,0,0,0,0,0,0,0,0,0,0
,,Stock in Trade,,4886306888,2182245555,705998409,0,136467607.3,0,0,0,0,0,0,0,0,0,0,0,0
,,,Stock in trade,4886306888,2182245555,705998409,0,136467607.3,0,0,0,0,0,0,0,0,0,0,0,0
,,Stock In Transit - Traded Goods.............,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Stock in transit - Traded goods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stores and Spares,,,369317045.9,73750688.94,30287853.15,0,0,0,0,0,0,103089715.1,5949673.71,0,0,0,0,0,0
,,,"Inventory Oils, Grease & Chemicals",80406929.03,37676285.04,11148467.05,0,0,0,0,0,0,0,3381408.32,0,0,0,0,0,0
,,,Inventorie Consumable Stores & Misc.,95274807.38,33046645.46,22727173.92,0,0,0,0,0,0,65248.62,11287088.77,0,0,0,0,0,0
,,,G-Stock Materiali Ricoperti CBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Stock in transit - Stores & Spares,0,763263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Inventory Stores- Manual Adj,183375225.6,-1550652.65,-5710867.81,0,0,0,0,0,0,0,-9985961.43,0,0,0,0,0,0
,,,Inventory Packing Material,10260083.91,3815148.09,2123079.99,0,0,0,0,0,0,103024466.5,1267138.05,0,0,0,0,0,0
,Inventory Machinery Spares,,,1159669234,220963312.6,140377687,0,0,0,0,0,0,10255897.47,13346977.36,0,0,0,0,0,0
,,,Inventory Spares,1124693751,223202343.7,275638441,0,0,0,0,0,0,3255897.47,13293062.61,0,0,0,0,0,0
,,,Inventory Machinery Spares-Imported,19116568.45,4004858.4,405301.86,0,0,0,0,0,0,0,53914.75,0,0,0,0,0,0
,,,Inventory Spares- Manual Adj,15809769.5,-6243889.46,-135666055.8,0,0,0,0,0,0,7000000,0,0,0,0,0,0,0
,,,In Transit - Stores & Spares,49145.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tools,,,638756765.1,168951470.7,35562297.39,0,0,0,0,0,0,0,18582686.9,0,0,0,0,0,0
,,,Inventory Tools,548137510.1,317643040.6,73445355.7,0,0,0,0,0,0,0,19443091.74,0,0,0,0,0,0
,,,Inventory Manufactured Tools,114084374.2,11959157.34,380919.68,0,0,0,0,0,0,0,229824.74,0,0,0,0,0,0
,,,Inventory Tools- Manual Adj,-23485319.61,-160650727.3,-38263977.99,0,0,0,0,0,0,0,-1090229.58,0,0,0,0,0,0
,,,Stock in transit - Tools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Inventory Dies,20200.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Other Inventory,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Food & Beverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Ind-AS  Inventories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Plant & Machinery Held For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
